id,胜,平,负,胜概率,平概率,负概率,返概率,凯利走势1,凯利走势2,凯利走势3
501331,2.07,3.28,3.83,46.05,29.06,24.89,95.32,0.95,0.95,0.95
501329,1.35,5.52,8.06,70.82,17.32,11.86,95.61,0.96,0.96,0.96
2620690,2.08,3.73,3.26,45.54,25.40,29.06,94.73,0.95,0.95,0.95
2620676,1.45,4.59,6.7,65.26,20.62,14.12,94.63,0.95,0.95,0.95
502710,1.18,6.6,11.95,78.28,13.99,7.73,92.37,0.92,0.92,0.92
502705,3.44,3.46,1.99,26.86,26.71,46.43,92.40,0.92,0.92,0.92
502709,2.15,3.52,2.94,42.70,26.08,31.22,91.80,0.92,0.92,0.92
502708,3.51,3.76,1.88,26.31,24.56,49.13,92.36,0.92,0.92,0.92
500669,2.87,3.5,2.39,33.10,27.14,39.75,95.01,0.95,0.95,0.95
502713,1.59,4.15,4.69,58.07,22.25,19.69,92.33,0.92,0.92,0.92
501062,1.89,3.35,4.34,50.01,28.21,21.78,94.52,0.95,0.95,0.95
502706,4.52,3.76,1.68,20.44,24.57,54.99,92.38,0.92,0.92,0.92
500300,1.77,3.89,4.36,53.74,24.45,21.81,95.11,0.95,0.95,0.95
500882,2.14,3.39,3.51,44.62,28.17,27.21,95.49,0.95,0.95,0.96
500482,1.69,3.36,6.09,56.16,28.25,15.59,94.92,0.95,0.95,0.95
502707,1.39,4.66,6.56,66.22,19.75,14.03,92.04,0.92,0.92,0.92
500295,3.11,3.11,2.44,30.54,30.54,38.92,94.97,0.95,0.95,0.95
501225,2.26,3.24,3.19,41.56,28.99,29.45,93.93,0.94,0.94,0.94
500298,1.51,4.24,6.55,63.03,22.45,14.53,95.17,0.95,0.95,0.95
501059,2.78,2.97,2.77,34.02,31.84,34.14,94.57,0.95,0.95,0.95
500662,1.14,8.84,17.71,83.80,10.81,5.39,95.53,0.96,0.96,0.95
501055,1.73,3.68,4.78,54.58,25.66,19.76,94.43,0.94,0.94,0.94
500485,2.73,3.11,2.73,34.75,30.50,34.75,94.86,0.95,0.95,0.95
500667,3.82,3.87,1.88,24.88,24.56,50.56,95.05,0.95,0.95,0.95
500487,1.88,3.5,4.24,50.49,27.12,22.39,94.92,0.95,0.95,0.95
2626283,6.78,4.17,1.48,13.88,22.56,63.56,94.08,0.94,0.94,0.94
500873,2.98,3.38,2.39,31.96,28.18,39.85,95.25,0.95,0.95,0.95
500296,1.52,4.38,6.06,62.58,21.72,15.70,95.13,0.95,0.95,0.95
500481,1.99,3.24,4.12,47.68,29.29,23.03,94.89,0.95,0.95,0.95
500488,4.01,3.18,2.04,23.66,29.83,46.51,94.87,0.95,0.95,0.95
