id,主场,客场,比赛,时间,主场得分,客场得分,胜赔率,平赔率,负赔率,胜预测值,平预测值,负预测值
505554,加蓬,摩洛哥,非洲杯,2022-01-19 03:00,2.0,2.0,5.00,3.00,1.83,22,45,33
454170,富勒姆,伯明翰,英冠,2022-01-19 03:45,6.0,2.0,1.50,4.00,6.50,57,27,16
501443,圣保利,多特蒙德,德国杯,2022-01-19 03:45,2.0,1.0,5.50,4.33,1.44,29,14,57
501598,尤文,桑普多利亚,意杯,2022-01-19 04:00,4.0,1.0,1.35,4.40,7.50,62,24,14
500814,布莱顿,切尔西,英超,2022-01-19 04:00,1.0,1.0,5.00,3.70,1.70,12,29,59
500405,加的斯,西班牙人,西甲,2022-01-19 04:30,2.0,2.0,3.20,2.90,2.50,21,37,42
501444,莱比锡,罗斯托克,德国杯,2022-01-20 01:30,2.0,0.0,1.14,6.50,15.00,75,17,8
501438,汉诺威96,门兴,德国杯,2022-01-20 01:30,3.0,0.0,4.80,4.00,1.55,12,26,62
456647,克莱蒙,斯特拉斯堡,法甲,2022-01-20 02:00,0.0,2.0,2.88,3.40,2.40,43,26,31
500406,塞尔塔,奥萨苏纳,西甲,2022-01-20 02:00,2.0,0.0,1.85,3.30,4.60,45,33,22
500968,里尔,洛里昂,法甲,2022-01-20 02:00,3.0,1.0,1.50,4.00,7.00,35,38,27
505579,几内亚比绍,尼日利亚,非洲杯,2022-01-20 03:00,0.0,2.0,6.50,3.50,1.55,7,30,63
2136254,莱斯特城,热刺,英超,2022-01-20 03:30,2.0,3.0,-,-,-,nan,nan,nan
501442,霍芬海姆,弗赖堡,德国杯,2022-01-20 03:45,1.0,4.0,2.05,3.40,3.10,22,38,40
501439,柏林赫塔,柏林联合,德国杯,2022-01-20 03:45,2.0,3.0,2.45,3.25,2.60,32,30,38
2136252,布伦特福德,曼联,英超,2022-01-20 04:00,1.0,3.0,-,-,-,nan,nan,nan
501605,国米,恩波利,意杯,2022-01-20 04:00,2.0,2.0,1.22,5.50,11.00,88,11,1
500410,巴伦西亚,塞维利亚,西甲,2022-01-20 04:30,1.0,1.0,3.20,3.00,2.40,32,44,24
505593,科特迪瓦,阿尔及利亚,非洲杯,2022-01-21 00:00,3.0,1.0,3.10,2.90,2.40,32,44,24
505594,塞拉利昂,赤道几内亚,非洲杯,2022-01-21 00:00,0.0,1.0,3.00,2.80,2.60,17,40,43
500408,赫塔菲,格拉纳达,西甲,2022-01-21 02:00,4.0,2.0,2.30,3.00,3.40,20,42,38
2213973,阿森纳,利物浦,英联杯,2022-01-21 03:45,0.0,2.0,2.75,3.25,2.38,46,21,33
501604,罗马,莱切,意杯,2022-01-21 04:00,3.0,1.0,1.30,4.50,9.00,83,14,3
2219862,毕尔巴鄂,巴萨,国王杯,2022-01-21 04:30,2.0,2.0,3.20,3.00,2.20,32,42,26
501465,汉堡,圣保利,德乙,2022-01-22 01:30,2.0,1.0,2.30,3.10,3.10,20,40,40
502633,登博思,埃因FC,荷乙,2022-01-22 03:00,0.0,2.0,2.38,3.40,2.63,25,34,41
500600,法兰克福,比勒菲尔德,德甲,2022-01-22 03:30,0.0,2.0,1.70,3.80,4.75,29,38,33
500225,维罗纳,博洛尼亚,意甲,2022-01-22 03:45,2.0,1.0,2.15,3.25,3.50,57,23,20
500988,里昂,圣埃蒂安,法甲,2022-01-22 04:00,1.0,0.0,1.30,5.00,11.00,68,22,10
500413,西班牙人,贝蒂斯,西甲,2022-01-22 04:00,1.0,4.0,2.70,3.20,2.63,21,36,43
500812,沃特福德,诺维奇,英超,2022-01-22 04:00,0.0,3.0,2.05,3.30,3.70,23,40,37
502191,费雷拉,博阿维斯塔,葡超,2022-01-22 05:15,1.0,1.0,2.30,3.00,3.30,35,35,30
501469,因戈尔施塔特,达姆施塔特,德乙,2022-01-22 20:30,0.0,2.0,3.50,3.25,2.05,30,42,28
500415,莱万特,加的斯,西甲,2022-01-22 21:00,0.0,2.0,1.75,3.60,4.75,49,29,22
500224,热那亚,乌迪内斯,意甲,2022-01-22 22:00,0.0,0.0,3.25,3.25,2.25,32,42,26
500602,门兴,柏林联合,德甲,2022-01-22 22:30,1.0,2.0,2.00,3.50,3.60,24,38,38
